mpgCarretera,potencia,tamañoMotor,peso,PRECIO,Linear Regression
continuous,continuous,continuous,continuous,continuous,continuous
,,,,class,meta
27.0,111.0,130.0,2548.0,13495.0,13699.11161184327
27.0,111.0,130.0,2548.0,16500.0,13699.11161184327
26.0,154.0,152.0,2823.0,16500.0,19051.654702332744
30.0,102.0,109.0,2337.0,13950.0,10620.36193014896
22.0,115.0,136.0,2824.0,17450.0,15521.31420210586
25.0,110.0,136.0,2507.0,15250.0,13869.66673213245
25.0,110.0,136.0,2844.0,17710.0,15456.16196731734
25.0,110.0,136.0,2954.0,18920.0,15974.009076724877
20.0,140.0,131.0,3086.0,23875.0,17612.359171606833
29.0,101.0,108.0,2395.0,16430.0,10722.325090972809
29.0,101.0,108.0,2395.0,16925.0,10722.325090972809
28.0,121.0,164.0,2710.0,20970.0,17804.803073969437
28.0,121.0,164.0,2765.0,21105.0,18063.726628673205
25.0,121.0,164.0,3055.0,24565.0,19320.787450661795
22.0,182.0,209.0,3230.0,30760.0,26968.564928014028
22.0,182.0,209.0,3380.0,41315.0,27674.72007720612
20.0,182.0,209.0,3505.0,36880.0,28191.06772389989
53.0,48.0,61.0,1488.0,5151.0,650.6231768752768
43.0,70.0,90.0,1874.0,6295.0,5648.504896420098
43.0,70.0,90.0,1909.0,6575.0,5813.2744312315845
41.0,68.0,90.0,1876.0,5572.0,5478.81383232426
38.0,68.0,90.0,1876.0,6377.0,5370.641365874806
30.0,102.0,98.0,2128.0,7957.0,8739.619520241147
38.0,68.0,90.0,1967.0,6229.0,5799.042156384676
38.0,68.0,90.0,1989.0,6692.0,5902.61157826618
38.0,68.0,90.0,1989.0,7609.0,5902.61157826618
30.0,102.0,98.0,2191.0,8558.0,9036.204682901822
30.0,88.0,122.0,2535.0,8921.0,11863.439737593784
24.0,145.0,156.0,2811.0,12964.0,18767.70667001487
54.0,58.0,92.0,1713.0,6479.0,4808.309010198442
38.0,76.0,92.0,1819.0,6855.0,5693.328890632663
42.0,60.0,79.0,1837.0,5399.0,4006.472126508903
34.0,76.0,92.0,1940.0,6529.0,6118.730755715016
34.0,76.0,92.0,1956.0,7129.0,6194.05397162884
34.0,76.0,92.0,2010.0,7295.0,6448.269825337993
34.0,76.0,92.0,2024.0,7295.0,6514.177639262583
33.0,86.0,110.0,2236.0,7895.0,9478.654952346842
33.0,86.0,110.0,2289.0,9095.0,9728.16310506138
33.0,86.0,110.0,2304.0,8845.0,9798.778619980592
33.0,86.0,110.0,2372.0,10295.0,10118.902287614335
28.0,101.0,110.0,2465.0,12945.0,11178.867199421755
31.0,100.0,110.0,2293.0,10345.0,10423.81935057156
29.0,78.0,111.0,2337.0,6785.0,9463.467107549746
29.0,90.0,119.0,2734.0,11048.0,12626.615443693889
19.0,176.0,258.0,4066.0,32250.0,34470.038954945674
19.0,176.0,258.0,4066.0,35550.0,34470.038954945674
17.0,262.0,326.0,3950.0,36000.0,43996.52260522121
31.0,68.0,91.0,1890.0,5195.0,5265.677021905245
38.0,68.0,91.0,1900.0,6095.0,5565.156453566771
38.0,68.0,91.0,1905.0,6795.0,5588.69495853984
38.0,68.0,91.0,1945.0,6695.0,5777.002998324395
38.0,68.0,91.0,1950.0,7395.0,5800.541503297467
23.0,101.0,70.0,2380.0,10945.0,7337.214617948048
23.0,101.0,70.0,2380.0,11845.0,7337.214617948048
23.0,101.0,70.0,2385.0,13645.0,7360.753122921124
23.0,135.0,80.0,2500.0,15645.0,10536.296679199677
32.0,84.0,122.0,2385.0,8845.0,11015.416589130466
32.0,84.0,122.0,2410.0,8495.0,11133.109113995815
32.0,84.0,122.0,2385.0,10595.0,11015.416589130466
32.0,84.0,122.0,2410.0,10245.0,11133.109113995815
42.0,64.0,122.0,2443.0,10795.0,10579.123250461926
32.0,84.0,122.0,2425.0,11245.0,11203.72462891502
27.0,120.0,140.0,2670.0,18280.0,15570.215469432886
39.0,72.0,134.0,2700.0,18344.0,13087.159059291378
25.0,123.0,183.0,3515.0,25552.0,23142.396409239627
25.0,123.0,183.0,3750.0,28248.0,24248.706142973897
25.0,123.0,183.0,3495.0,28176.0,23048.242389347346
25.0,123.0,183.0,3770.0,31600.0,24342.860162866178
18.0,155.0,234.0,3740.0,34184.0,29819.133981428553
18.0,155.0,234.0,3685.0,35056.0,29560.210426724785
16.0,184.0,308.0,3900.0,40960.0,38084.86726826008
16.0,184.0,304.0,3715.0,45400.0,36887.82152897159
24.0,175.0,140.0,2910.0,16503.0,19534.157174123495
41.0,68.0,92.0,1918.0,5389.0,5839.5978017405
38.0,68.0,92.0,1944.0,6189.0,5853.82556115101
38.0,68.0,92.0,2004.0,6669.0,6136.287620827847
30.0,102.0,98.0,2145.0,7689.0,8819.650437149583
30.0,116.0,110.0,2370.0,9959.0,11606.186745957137
32.0,88.0,122.0,2328.0,8499.0,10961.060609341668
24.0,145.0,156.0,2833.0,12629.0,18871.276091896383
24.0,145.0,156.0,2921.0,14869.0,19285.553779422407
24.0,145.0,156.0,2926.0,14489.0,19309.092284395476
32.0,88.0,122.0,2365.0,6989.0,11135.245546142385
32.0,88.0,122.0,2405.0,8189.0,11323.553585926944
30.0,116.0,110.0,2403.0,9279.0,11761.5408787794
30.0,116.0,110.0,2403.0,9279.0,11761.5408787794
37.0,69.0,97.0,1889.0,5499.0,6019.991580962949
50.0,55.0,103.0,2017.0,7099.0,6831.565826650494
37.0,69.0,97.0,1918.0,6649.0,6156.514909806752
37.0,69.0,97.0,1938.0,6849.0,6250.66892969903
37.0,69.0,97.0,2024.0,7349.0,6655.531215235831
37.0,69.0,97.0,1951.0,7299.0,6311.869042629012
37.0,69.0,97.0,2028.0,7799.0,6674.362019214284
37.0,69.0,97.0,1971.0,7499.0,6406.02306252129
37.0,69.0,97.0,2037.0,7999.0,6716.73132816581
37.0,69.0,97.0,2008.0,8249.0,6580.207999322007
34.0,97.0,120.0,2324.0,8949.0,11332.74595338817
34.0,97.0,120.0,2302.0,9549.0,11229.176531506666
22.0,152.0,181.0,3095.0,13499.0,22445.305579965294
22.0,152.0,181.0,3296.0,14399.0,23391.5534798827
25.0,152.0,181.0,3060.0,13499.0,22388.70851160326
25.0,160.0,181.0,3071.0,17199.0,22868.459176352408
23.0,200.0,181.0,3139.0,19699.0,25256.29763539516
25.0,160.0,181.0,3139.0,18399.0,23188.58284398615
24.0,97.0,120.0,3020.0,11900.0,14248.730957474625
33.0,95.0,152.0,3197.0,13200.0,17908.48838669683
24.0,97.0,120.0,3230.0,12440.0,15237.348166343552
25.0,95.0,152.0,3430.0,13860.0,18716.92280791
24.0,95.0,120.0,3075.0,15580.0,14400.663023726294
33.0,95.0,152.0,3252.0,16900.0,18167.411941400598
24.0,95.0,120.0,3285.0,16695.0,15389.280232595222
25.0,95.0,152.0,3485.0,17075.0,18975.846362613767
24.0,97.0,120.0,3075.0,16630.0,14507.654512178393
33.0,95.0,152.0,3252.0,17950.0,18167.411941400598
24.0,142.0,134.0,3130.0,18150.0,18315.310250551564
41.0,68.0,90.0,1918.0,5572.0,5676.537274098046
30.0,102.0,98.0,2128.0,7957.0,8739.619520241147
38.0,68.0,90.0,1967.0,6229.0,5799.042156384676
38.0,68.0,90.0,1989.0,6692.0,5902.61157826618
38.0,68.0,98.0,2191.0,7609.0,7505.809289748016
30.0,88.0,122.0,2535.0,8921.0,11863.439737593784
24.0,145.0,156.0,2818.0,12764.0,18800.66057697717
27.0,143.0,151.0,2778.0,22018.0,18205.882196083832
25.0,207.0,194.0,2756.0,32528.0,24959.7267713493
25.0,207.0,194.0,2756.0,34028.0,24959.7267713493
25.0,207.0,194.0,2800.0,37028.0,25166.865615112314
31.0,104.256157635468,132.0,2579.0,9295.0,13791.573959350892
31.0,104.256157635468,132.0,2460.0,9895.0,13231.357540991834
28.0,110.0,121.0,2658.0,11850.0,13465.748091450187
28.0,110.0,121.0,2695.0,12170.0,13639.933028250904
28.0,110.0,121.0,2707.0,15040.0,13696.42544018627
28.0,110.0,121.0,2758.0,15510.0,13936.518190911585
26.0,160.0,121.0,2808.0,18150.0,16774.57547431178
26.0,160.0,121.0,2847.0,18620.0,16958.175813101723
36.0,69.0,97.0,2050.0,5118.0,6741.873952279304
31.0,73.0,108.0,2120.0,7053.0,8001.941456757562
31.0,73.0,108.0,2240.0,7603.0,8566.865576111235
37.0,82.0,108.0,2145.0,7126.0,8817.44061255626
33.0,82.0,108.0,2190.0,7775.0,8885.057202047952
32.0,94.0,108.0,2340.0,9960.0,10197.103793136146
25.0,82.0,108.0,2385.0,9233.0,9514.598985465796
29.0,111.0,108.0,2510.0,11259.0,11798.668147613906
32.0,82.0,108.0,2290.0,7463.0,9319.769812692859
31.0,94.0,108.0,2455.0,10198.0,10702.431918700266
29.0,82.0,108.0,2420.0,8013.0,9823.598475543218
23.0,111.0,108.0,2650.0,11694.0,12241.401353960951
39.0,62.0,92.0,1985.0,5348.0,5761.92432539037
38.0,62.0,92.0,2040.0,6338.0,5984.790391277653
38.0,62.0,92.0,2015.0,6488.0,5867.097866412303
37.0,62.0,92.0,2280.0,6918.0,7078.581141168514
32.0,62.0,92.0,2290.0,7898.0,6945.370707032234
32.0,62.0,92.0,3110.0,8778.0,10805.685522615655
37.0,70.0,98.0,2081.0,6938.0,7058.896179976102
37.0,70.0,98.0,2109.0,7198.0,7190.71180782529
36.0,56.0,110.0,2275.0,7898.0,8165.555430804758
47.0,56.0,110.0,2275.0,7788.0,8562.187807786078
47.0,70.0,98.0,2094.0,7738.0,7480.671181070917
34.0,70.0,98.0,2122.0,8358.0,7143.739454305818
34.0,70.0,98.0,2140.0,9258.0,7228.478072208869
34.0,70.0,98.0,2169.0,8058.0,7365.001401052672
34.0,70.0,98.0,2204.0,8238.0,7529.770935864159
29.0,112.0,98.0,2265.0,9298.0,9883.474509947264
29.0,112.0,98.0,2300.0,9538.0,10048.244044758754
30.0,116.0,146.0,2540.0,8449.0,15341.585412605695
30.0,116.0,146.0,2536.0,9639.0,15322.754608627241
30.0,116.0,146.0,2551.0,9989.0,15393.370123546447
30.0,116.0,146.0,2679.0,11199.0,15995.955850857034
30.0,116.0,146.0,2714.0,11549.0,16160.72538566852
30.0,116.0,146.0,2975.0,17669.0,17389.435345262755
34.0,92.0,122.0,2326.0,8948.0,11237.743161889608
33.0,73.0,110.0,2480.0,10698.0,9931.889320094
32.0,92.0,122.0,2414.0,9988.0,11579.905871782663
32.0,92.0,122.0,2414.0,10898.0,11579.905871782663
32.0,92.0,122.0,2458.0,11248.0,11787.044715545679
24.0,161.0,171.0,2976.0,16558.0,21623.36319906138
24.0,161.0,171.0,3016.0,15998.0,21811.671238845935
24.0,156.0,171.0,3131.0,15690.0,22085.578132096285
24.0,156.0,161.0,3151.0,15750.0,21364.42951377629
46.0,52.0,97.0,2261.0,7775.0,7186.3460984648445
34.0,85.0,109.0,2209.0,7975.0,9252.578506261474
46.0,52.0,97.0,2264.0,7995.0,7200.469201448686
34.0,85.0,109.0,2212.0,8195.0,9266.701609245316
34.0,85.0,109.0,2275.0,8495.0,9563.286771905994
42.0,68.0,97.0,2319.0,9495.0,8171.094708503308
32.0,100.0,109.0,2300.0,9995.0,10411.300482529114
29.0,90.0,109.0,2254.0,11595.0,9551.616328066928
29.0,90.0,109.0,2221.0,9980.0,9396.262195244668
24.0,110.0,136.0,2661.0,13295.0,14558.595196486509
38.0,68.0,97.0,2579.0,13845.0,9250.867011836992
31.0,88.0,109.0,2563.0,12290.0,10971.419424583502
28.0,114.0,141.0,2912.0,12940.0,16506.092397410874
28.0,114.0,141.0,3034.0,13415.0,17080.431918753777
28.0,114.0,141.0,2935.0,15985.0,16614.369520286993
28.0,114.0,141.0,3042.0,16515.0,17118.093526710683
22.0,162.0,130.0,3045.0,18420.0,18586.834517612493
22.0,162.0,130.0,3157.0,18950.0,19114.097029009252
28.0,114.0,141.0,2952.0,16845.0,16694.400437195436
25.0,160.0,141.0,3049.0,19045.0,19503.679201621802
23.0,134.0,173.0,3012.0,21485.0,20475.45837959012
27.0,106.0,145.0,3217.0,22470.0,17804.038813428153
25.0,114.0,141.0,3062.0,22625.0,17104.075080153518
